motif,description,tone
webcam,a webcam,literal
long-shadow,a circle with a long flat shadow,witty
psychedelic-swirl,a psychedelic swirl,literal
pastel-column,a column wearing a pastel hat,witty
space-invader,a space invader,literal
but-wait-phone,a phone with a flashing star burst,witty
plane-pictogram,an airplane pictogram,literal
arcade-cabinet,an arcade cabinet,literal
deco-fan,a stepped fan motif,literal
nouveau-lily,a curling lily,literal
bauhaus-shapes,"a circle, square and triangle",literal
concrete-block,a concrete block,literal
bus,a bus,literal
car-boot,a car with its boot open,literal
cassette,a cassette tape,literal
cd,a shiny CD,literal
cereal-bowl,a cereal bowl with a spoon,literal
teddy,a teddy bear,literal
church,a little church,literal
terminal-prompt,a prompt with a blinking cursor,literal
rising-chart,a bar chart going up,literal
healing-crystal,a healing crystal,witty
dada-moustache,a moustache with nothing attached,witty
mondrian,"red, yellow and blue blocks",literal
leather-stitch,a stitched leather patch,witty
for-sale,a for-sale board,literal
fax-machine,a fax machine,literal
spinning-loader,a spinning loader,witty
flatpack-man,a little instruction man with a screwdriver,witty
construction-digger,an under-construction digger,witty
devil-horns,a hand making devil horns,literal
lost-cat,a cat,literal
stiletto,a stiletto,literal
happy-computer,a smiling computer,literal
memphis-squiggle,a squiggle and a dotted triangle,literal
paint-bucket,a paint bucket,literal
museum-label,a small label on a wall,literal
top-eight,eight little squares,witty
newspaper,a folded newspaper,literal
nutrition-label,a label with lines,literal
paperclip-eyes,a paperclip with eyes,witty
parking-ticket,a ticket on a windscreen,literal
capsule,a capsule,literal
photo-corners,photo corners holding a picture,literal
pow,a comic POW burst,literal
vault,a vault door,literal
thumbs-poster,a poster with a thumbs up,literal
safety-pin,a safety pin,literal
lipstick,a lipstick,literal
road-sign,a triangle road sign,literal
red-wedge,a red wedge,literal
exercise-book,a lined book with a doodle,literal
long-receipt,a long receipt,literal
swiss-grid,a grid with one red square,literal
shocked-face,a shocked face,witty
noodle-box,a noodle box,literal
teletext-blocks,chunky coloured blocks,literal
vhs,a VHS tape,literal
beta-starburst,a shiny starburst badge,literal
wedding-rings,two rings,literal
window-flag,a four-colour window flag,literal
chrome-heart,a chrome heart,literal
